ib,beta0V6,beta0V9,beta1V2
500.0E-9,756.0,748.2,748.8
600.0E-9,741.9,730.7,733.6
700.0E-9,728.3,714.2,719.1
800.0E-9,715.3,698.8,705.2
900.0E-9,702.8,684.3,691.9
1.000E-6,690.9,670.7,679.4
1.100E-6,679.5,657.8,667.4
1.200E-6,668.7,645.7,656.1
1.300E-6,658.4,634.3,645.3
1.400E-6,648.6,623.4,635.0
1.500E-6,639.2,613.1,625.2
1.600E-6,630.2,603.3,615.8
1.700E-6,621.6,594.0,606.9
1.800E-6,613.3,585.1,598.3
1.900E-6,605.4,576.6,590.1
2.000E-6,597.8,568.5,582.3
2.100E-6,590.5,560.7,574.7
2.200E-6,583.4,553.2,567.4
2.300E-6,576.6,546.0,560.4
2.400E-6,570.1,539.1,553.7
2.500E-6,563.7,532.5,547.2
2.600E-6,557.6,526.0,540.9
2.700E-6,551.7,519.9,534.8
2.800E-6,546.0,513.9,529.0
2.900E-6,540.5,508.1,523.3
3.000E-6,535.1,502.5,517.8
3.100E-6,529.9,497.1,512.5
3.200E-6,524.8,491.9,507.4
3.300E-6,519.9,486.8,502.3
3.400E-6,515.2,481.9,497.5
3.500E-6,510.5,477.1,492.8
3.600E-6,506.0,472.5,488.2
3.700E-6,501.6,468.0,483.7
3.800E-6,497.3,463.6,479.4
3.900E-6,493.2,459.3,475.2
4.000E-6,489.1,455.2,471.0
4.100E-6,485.2,451.1,467.0
4.200E-6,481.3,447.2,463.1
4.300E-6,477.5,443.4,459.3
4.400E-6,473.9,439.6,455.6
4.500E-6,470.3,436.0,451.9
4.600E-6,466.7,432.4,448.4
4.700E-6,463.3,428.9,444.9
4.800E-6,459.9,425.5,441.5
4.900E-6,456.7,422.2,438.2
5.000E-6,453.4,418.9,435.0
5.100E-6,450.3,415.8,431.8
5.200E-6,447.2,412.7,428.7
5.300E-6,444.2,409.6,425.6
5.400E-6,441.2,406.6,422.6
5.500E-6,438.3,403.7,419.7
5.600E-6,435.5,400.9,416.9
5.700E-6,432.7,398.1,414.1
5.800E-6,429.9,395.3,411.3
5.900E-6,427.2,392.6,408.6
6.000E-6,424.6,390.0,406.0
